Name,Suit,Color,Face Value
Ace of Clubs,Clubs,Black,A
Two of Clubs,Clubs,Black,2
Three of Clubs,Clubs,Black,3
Four of Clubs,Clubs,Black,4
Five of Clubs,Clubs,Black,5
Six of Clubs,Clubs,Black,6
Seven of Clubs,Clubs,Black,7
Eight of Clubs,Clubs,Black,8
Nine of Clubs,Clubs,Black,9
Ten of Clubs,Clubs,Black,10
Jack of Clubs,Clubs,Black,J
Queen of Clubs,Clubs,Black,Q
Kings of Clubs,Clubs,Black,K
Ace of Spades,Spades,Black,A
Two of Spades,Spades,Black,2
Three of Spades,Spades,Black,3
Four of Spades,Spades,Black,4
Five of Spades,Spades,Black,5
Six of Spades,Spades,Black,6
Seven of Spades,Spades,Black,7
Eight of Spades,Spades,Black,8
Nine of Spades,Spades,Black,9
Ten of Spades,Spades,Black,10
Jack of Spades,Spades,Black,J
Queen of Spades,Spades,Black,Q
Kings of Spades,Spades,Black,K
Ace of Diamonds,Diamonds,Red,A
Two of Diamonds,Diamonds,Red,2
Three of Diamonds,Diamonds,Red,3
Four of Diamonds,Diamonds,Red,4
Five of Diamonds,Diamonds,Red,5
Six of Diamonds,Diamonds,Red,6
Seven of Diamonds,Diamonds,Red,7
Eight of Diamonds,Diamonds,Red,8
Nine of Diamonds,Diamonds,Red,9
Ten of Diamonds,Diamonds,Red,10
Jack of Diamonds,Diamonds,Red,J
Queen of Diamonds,Diamonds,Red,Q
Kings of Diamonds,Diamonds,Red,K
Ace of Hearts,Hearts,Red,A
Two of Hearts,Hearts,Red,2
Three of Hearts,Hearts,Red,3
Four of Hearts,Hearts,Red,4
Five of Hearts,Hearts,Red,5
Six of Hearts,Hearts,Red,6
Seven of Hearts,Hearts,Red,7
Eight of Hearts,Hearts,Red,8
Nine of Hearts,Hearts,Red,9
Ten of Hearts,Hearts,Red,10
Jack of Hearts,Hearts,Red,J
Queen of Hearts,Hearts,Red,Q
Kings of Hearts,Hearts,Red,K
Joker 1,None,Multicolored,None
Joker 2,None,Multicolored,None
